timeSec,estimatedX,estimatedY,estimatedHeadingDeg,truthX,truthY,truthHeadingDeg,translationErrorMeters,headingErrorDegrees
10.178,0.00000,0.00000,26.333,0.50611,-1.02780,18.852,1.14565,7.481
10.199,0.00000,0.00000,26.335,0.49488,-1.03414,18.852,1.14645,7.483
10.219,0.00000,0.00000,26.334,0.48365,-1.04048,18.852,1.14739,7.482
10.236,0.00000,0.00000,26.332,0.47466,-1.04555,18.852,1.14825,7.480
10.256,0.00000,0.00000,26.335,0.46343,-1.05189,18.852,1.14945,7.483
10.280,0.00000,0.00000,26.332,0.44995,-1.05950,18.852,1.15108,7.480
10.298,0.00000,0.00000,26.332,0.44096,-1.06457,18.852,1.15228,7.480
10.318,0.00000,0.00000,26.334,0.42748,-1.07218,18.852,1.15425,7.482
10.337,0.00000,0.00000,26.335,0.41849,-1.07725,18.852,1.15568,7.483
10.355,0.00000,0.00000,26.333,0.40726,-1.08359,18.852,1.15759,7.481
10.378,0.00000,0.00000,26.335,0.39378,-1.09120,18.852,1.16007,7.483
10.398,0.00000,0.00000,26.336,0.38479,-1.09627,18.852,1.16184,7.484
10.415,0.00000,0.00000,26.336,0.37356,-1.10261,18.852,1.16417,7.484
10.440,0.00000,0.00000,26.338,0.36008,-1.11021,18.852,1.16715,7.486
10.459,0.00000,0.00000,26.338,0.34884,-1.11655,18.852,1.16978,7.485
10.478,0.00000,0.00000,26.336,0.33761,-1.12289,18.852,1.17255,7.484
10.497,0.00000,0.00000,26.338,0.32862,-1.12796,18.852,1.17486,7.486
10.518,0.00000,0.00000,26.340,0.31514,-1.13557,18.852,1.17849,7.487
10.536,0.00000,0.00000,26.337,0.30657,-1.14041,18.852,1.18090,7.485
10.555,0.00000,0.00000,26.339,0.29670,-1.14598,18.852,1.18376,7.487
10.575,0.00000,0.00000,26.339,0.28769,-1.15106,18.852,1.18647,7.487
10.600,0.00000,0.00000,26.336,0.27791,-1.15658,18.852,1.18950,7.484
10.619,0.00000,0.00000,26.338,0.27053,-1.16075,18.852,1.19185,7.486
10.639,0.00000,0.00000,26.338,0.26379,-1.16455,18.852,1.19405,7.486
10.659,0.00000,0.00000,26.340,0.25763,-1.16803,18.852,1.19610,7.488
